morton_code,lat,lon,gem_score,demand_p90,demand_p50,flow_index,stop_rate,n_rides,n_corners,crowd_v_p50,crowd_v_p85,crowd_lean_p90,radius_p50,grade_mean,elev_mean,n_points
122010200300212120,48.2225,11.6298,79.5367,30.2375,0.8901,0.9333,0.0,15,3,27.2222,34.6389,25.7432,92.8909,-0.151,513.5363,92
122001210103022111,47.9344,7.481,76.9937,31.8604,17.8088,1.0,0.0,5,5,24.8611,27.5278,33.0644,190.1717,-2.2006,207.4948,24
122001210103023000,47.9346,7.4824,76.2449,31.1865,13.6013,1.0,0.0,5,4,21.3889,23.875,30.3486,91.3821,-0.443,210.1911,28
122001210103023001,47.9342,7.4838,74.7399,29.832,3.3723,1.0,0.0,5,3,21.6667,26.6528,25.4224,211.6659,1.0628,210.5667,30
122010200333121223,48.4596,11.9224,74.6591,39.6554,9.3342,0.5714,0.0,7,5,13.8889,17.1389,31.2187,30.4743,-1.5607,419.1952,63
122010200211312320,48.2282,11.5861,74.6419,27.3827,1.0629,1.0,0.0,8,2,19.7222,26.7778,15.75,121.4638,0.1712,536.112,45
122010200300212101,48.2199,11.6309,73.6891,27.9886,15.9508,1.0,0.0,6,2,26.2108,34.4444,29.0039,89.4708,-0.5695,541.3385,20
122010200211312302,48.227,11.5858,73.4409,28.6629,15.3867,1.0,0.0,5,5,15.2778,16.8889,29.584,73.5031,-0.808,538.1339,29
122001210103031313,47.9294,7.514,72.7215,27.1177,8.5272,1.0,0.0,6,1,28.8889,34.5973,27.668,223.1567,-0.1717,209.1234,22
122010022331332112,47.7151,11.9407,72.4755,27.794,15.6783,1.0,0.0,5,5,13.6111,16.4458,24.6357,61.9032,-1.3605,791.3348,5
122010200211312231,48.2279,11.5847,72.4057,26.0559,14.2431,1.0,0.0,7,4,18.0556,33.8844,29.3643,98.9189,-1.9376,529.568,33
122001210103120330,47.9314,7.5235,70.5153,26.0299,0.9493,1.0,0.0,5,1,29.4445,32.7778,24.6621,284.4814,-0.1104,209.2931,20
122001133321033111,47.6706,11.0297,70.1861,29.3359,2.6634,0.8333,0.0,6,9,11.6667,16.9445,18.145,46.2289,-0.443,859.0179,100
