morton_code,lat,lon,abs_per_traversal,abs_per_traversal_shrunk,abs_events,n_rides,abs_per_1k_points,stop_rate,flow_index,crowd_v_p50,crowd_v_p85,demand_p90,radius_p50,grade_mean,elev_mean,n_points
122010200101112210,47.82926,11.75886,3.4,0.68208,17,5,171.71717,0.2,0.4,4.44444,8.5,8.38366,61.04546,-2.08334,865.4938,99
122010200110002033,47.8284,11.78225,3.2,0.64208,16,5,93.02326,0.4,0.0,4.44444,6.76389,8.47876,51.38877,-0.03903,809.5604,172
122010200101112211,47.82955,11.76017,2.2,0.44208,11,5,86.61417,0.6,0.2,5.83333,8.05556,11.65646,37.32059,-3.17322,858.7919,127
122010200110002032,47.82834,11.78078,1.8,0.36208,9,5,101.1236,0.2,0.8,7.77778,9.44444,3.53427,141.79554,1.23058,819.9743,89
122010200101112311,47.82916,11.76568,1.4,0.28208,7,5,101.44928,0.0,0.6,9.72222,11.94444,3.90759,122.74974,-5.59205,814.68,69
122010200101112300,47.82964,11.76155,1.2,0.24208,6,5,54.54545,0.2,0.6,6.38889,8.33333,5.77082,94.01915,-2.73554,850.90094,110
122010200101112310,47.82947,11.76424,1.2,0.24208,6,5,62.5,0.0,0.8,6.80556,9.44444,11.63614,46.1393,-4.89266,826.6807,96
122010022123132320,47.41518,11.76154,0.8,0.16208,4,5,190.47619,0.0,0.8,24.0278,25.00523,12.37944,458.71974,-2.13109,915.7722,21
122010022123132233,47.41619,11.76025,0.8,0.16208,4,5,142.85714,0.0,1.0,23.38671,24.72222,24.98818,143.94041,-0.41253,941.8617,28
122010200101113200,47.82908,11.76705,0.8,0.16208,4,5,64.51613,0.0,0.8,9.72222,11.66667,3.66873,198.93194,-3.85514,809.68195,62
122010200003110020,47.90386,11.40455,0.77778,0.24317,7,9,83.33333,0.0,0.88889,13.33333,16.38889,19.63834,103.092,-1.55366,671.6375,84
122010022123310020,47.42048,11.75637,0.66667,0.15584,4,6,114.28571,0.0,1.0,21.47246,23.89755,2.96522,,2.38754,936.90985,35
122010200112033302,47.94102,11.81647,0.66667,0.15584,4,6,142.85714,0.16667,0.83333,27.22222,32.05556,3.053,,-1.34101,679.35754,28
122010022123310010,47.41748,11.7587,0.6,0.12208,3,5,130.43478,0.0,1.0,24.39217,24.54717,3.74226,,0.19784,919.0607,23
122010022123310003,47.41902,11.75712,0.6,0.12208,3,5,111.11111,0.0,0.8,23.61113,24.50025,12.01627,337.50935,1.61433,917.494,27
122010200101103013,47.82555,11.74917,0.6,0.12208,3,5,27.02703,0.0,1.0,9.16667,10.55556,6.71785,115.84922,4.42392,875.675,111
122010200101112301,47.82964,11.76294,0.6,0.12208,3,5,33.33333,0.0,0.8,6.94444,9.90278,8.7765,82.05941,-5.61766,839.03973,90
122010200101113210,47.8294,11.76982,0.6,0.12208,3,5,37.5,0.0,0.8,9.16667,10.59722,7.76119,111.29933,1.45512,808.68365,80
122010200101113123,47.82848,11.77389,0.6,0.12208,3,5,46.15385,0.0,0.8,10.55556,11.94444,4.29742,,-0.4632,817.5262,65
122010200101113132,47.82824,11.77532,0.6,0.12208,3,5,38.96104,0.0,0.8,8.33333,9.72222,6.04311,96.90322,1.39204,823.3912,77
122001311113101023,47.9055,11.21925,0.42857,0.11303,3,7,27.52294,0.0,0.57143,8.61111,10.55556,11.96159,67.75189,-2.63486,697.93665,109
122010022123310022,47.42179,11.7557,0.42857,0.11303,3,7,54.54545,0.0,1.0,18.33335,23.45835,2.99068,,-0.26322,968.9565,55
122010200011302303,47.87434,11.56515,0.4,0.08208,2,5,37.03704,0.0,0.8,10.55556,12.77778,3.81914,214.69218,0.63807,725.3193,54
122010200011011300,47.81866,11.55264,0.4,0.08208,2,5,29.85075,0.0,0.8,13.33333,19.22224,27.68858,70.15062,0.33289,667.05817,67
122010200011011212,47.82036,11.55004,0.4,0.08208,2,5,27.39726,0.0,0.6,13.33334,17.22224,8.95019,171.71758,2.89794,693.45795,73
122010022123310001,47.41815,11.75788,0.4,0.08208,2,5,181.81818,0.0,1.0,23.88891,25.12154,13.37147,274.60382,-0.6931,930.25055,11
122001133323330113,47.79225,11.06294,0.4,0.08208,2,5,57.14286,0.0,1.0,12.77778,14.16668,5.80629,209.59521,0.21107,602.42566,35
122010022233122120,47.76121,11.56368,0.4,0.08208,2,5,24.09639,0.0,0.4,8.88889,10.2711,4.27601,156.20741,-1.4979,692.6276,83
122010200013211031,47.94746,11.55136,0.36364,0.13071,4,11,32.78689,0.09091,0.45455,10.83333,16.66667,15.77032,90.45084,-0.44264,710.6124,122
122010022323331022,47.79531,11.7669,0.33333,0.10524,3,9,32.6087,0.0,1.0,15.15308,16.94445,8.11308,234.33371,0.073,773.96826,92
122001133333220111,47.79167,11.1727,0.33333,0.10524,3,9,9.86842,0.11111,0.88889,17.77779,24.19444,9.22979,33.42252,-0.36085,658.21515,304
122001311111323223,47.89934,11.21966,0.33333,0.07892,2,6,68.96552,0.0,0.83333,18.05557,23.00002,15.97678,252.88249,1.12402,660.7696,29
122001311111321223,47.88876,11.21872,0.33333,0.07892,2,6,35.71429,0.0,1.0,17.36112,22.5,22.12493,113.96316,1.58515,639.9413,56
122010200111012103,47.82548,11.89474,0.33333,0.07892,2,6,39.21569,0.0,1.0,14.72222,18.05556,24.23527,157.02197,-6.55821,712.0024,51
122010022223032121,47.76106,11.36758,0.33333,0.07892,2,6,25.0,0.16667,0.83333,13.88889,15.00001,1.88296,11.31075,-0.37597,610.85895,80
122010200010101020,47.81634,11.48111,0.28571,0.14761,6,21,33.51955,0.04762,0.61905,10.27778,14.16667,14.40515,66.23116,-0.40023,619.2381,179
122010200110231112,47.88058,11.81866,0.28571,0.076,2,7,83.33333,0.0,1.0,32.91667,35.83334,1.9167,,2.11005,601.8911,24
122010200111003311,47.83006,11.88668,0.28571,0.076,2,7,22.98851,0.0,0.0,16.11111,23.08333,20.4799,95.27121,-3.65565,669.52325,87
122010022332120133,47.75152,11.83171,0.28571,0.076,2,7,25.97403,0.14286,0.71429,11.66668,14.6494,3.11874,248.7803,0.26526,769.1707,77
122010200101111301,47.81859,11.77373,0.27273,0.09845,3,11,37.97468,0.09091,0.90909,22.7778,27.25002,11.84203,411.43141,-0.71657,742.4024,79
122001311113101302,47.90819,11.22294,0.27273,0.09845,3,11,9.80392,0.36364,0.45455,8.61111,15.83334,11.65374,167.27104,1.20962,747.83734,306
122010200110000202,47.81952,11.77796,0.25,0.09537,3,12,54.54545,0.0,0.91667,23.88889,27.77778,3.21535,,-0.3429,743.0927,55
122010022322310021,47.7722,11.66947,0.25,0.07328,2,8,19.41748,0.125,0.875,12.36112,13.33334,18.64351,96.49092,-0.85045,753.135,103
122001311102210212,47.95164,10.92347,0.25,0.07328,2,8,22.98851,0.375,0.375,10.97222,22.77778,14.24238,183.68059,1.45402,723.95526,87
122010022233323032,47.80576,11.5722,0.25,0.07328,2,8,31.25,0.25,0.5,12.77778,18.84722,19.78194,93.57572,0.26096,717.9541,64
122010200111020301,47.8408,11.87319,0.24324,0.15881,9,37,5.78406,0.05405,0.86486,17.50001,23.61111,24.71681,170.41165,-5.38325,673.60626,1556
122001311113101323,47.91068,11.22432,0.22222,0.07076,2,9,28.16901,0.0,1.0,23.05557,26.52778,4.0259,,-0.07944,750.93933,71
122010200110231320,47.88693,11.81658,0.22222,0.07076,2,9,35.71429,0.0,0.66667,15.97223,23.26389,13.48138,153.41536,-2.36451,623.39764,56
122010200013113002,47.91346,11.59071,0.22222,0.07076,2,9,16.12903,0.0,1.0,13.2448,16.66667,12.99249,108.70528,1.76063,762.91785,124
122010200003101131,47.9034,11.40317,0.22222,0.07076,2,9,38.46154,0.0,0.88889,17.22223,21.57017,6.8807,278.41803,-0.21332,675.2778,52
122001311113103130,47.91512,11.22555,0.21429,0.08976,3,14,31.91489,0.0,0.42857,12.08334,17.55556,6.76214,81.32806,-1.18255,762.21063,94
