morton_code,lat,lon,abs_per_traversal,abs_per_traversal_shrunk,abs_events,n_rides,abs_per_1k_points,stop_rate,flow_index,crowd_v_p50,crowd_v_p85,demand_p90,radius_p50,grade_mean,elev_mean,n_points
122010200021012010,47.99975,11.36348,0.6,0.12394,3,5,24.59016,0.8,0.0,7.5,12.77779,38.13227,35.23246,-2.4368,614.62463,122
122010200030323201,48.07116,11.48272,0.4,0.08394,2,5,39.21569,0.0,0.4,16.66667,38.88892,27.588,80.20961,-2.31797,605.06274,51
122001210103023001,47.93424,7.48378,0.4,0.08394,2,5,66.66667,0.0,1.0,21.66668,26.6528,29.83201,211.66591,1.06285,210.56673,30
122010200211312302,48.22698,11.58581,0.4,0.08394,2,5,68.96552,0.0,1.0,15.27778,16.88889,28.66292,73.50306,-0.80796,538.1339,29
122010200211312320,48.2282,11.58613,0.375,0.11066,3,8,66.66667,0.0,1.0,19.72222,26.77778,27.38269,121.46378,0.17117,536.11194,45
122010200213123333,48.29512,11.57858,0.28571,0.07773,2,7,16.80672,0.42857,0.42857,10.83333,16.3889,15.27871,66.30034,-0.92993,529.95123,119
122010200211312303,48.22681,11.58683,0.25,0.07495,2,8,12.98701,0.125,0.625,15.0,18.94445,26.37939,56.63055,1.6831,516.6779,154
122010022333132021,47.7608,11.9332,0.2,0.04394,1,5,35.71429,0.0,1.0,17.08335,19.70852,7.48766,307.80986,1.78953,794.8994,28
122010022331330210,47.70934,11.93431,0.2,0.04394,1,5,55.55556,0.0,1.0,19.16667,20.83333,7.2277,,1.27197,790.23566,18
122001210103022111,47.93436,7.48102,0.2,0.04394,1,5,41.66667,0.0,1.0,24.86113,27.5278,31.86042,190.17171,-2.20059,207.49483,24
122001133321031101,47.65939,11.02733,0.2,0.04394,1,5,24.39024,0.0,0.8,20.55557,21.94446,10.87029,48.90707,2.90283,884.29626,41
122010200300020202,48.19362,11.60227,0.2,0.04394,1,5,17.24138,0.0,1.0,16.11111,17.50001,14.54886,128.68446,0.7752,510.9945,58
122010200211130233,48.1962,11.58433,0.15385,0.06359,2,13,7.7821,0.15385,0.76923,14.72223,17.77779,2.47456,,0.513,525.4074,257
122010200300022031,48.2005,11.60625,0.11111,0.03788,1,9,4.14938,0.44444,0.44444,8.88889,14.97223,12.95615,33.01277,-0.62854,515.61505,241
122010200211132011,48.19772,11.58466,0.07692,0.03329,1,13,6.94444,0.0,1.0,16.11111,17.22222,1.70208,,0.67942,527.8108,144
122010200211130013,48.18802,11.58434,0.04762,0.0268,1,21,1.02459,0.66667,0.09524,7.77778,13.33333,11.49661,50.06546,0.06897,528.48285,976
