column,nonnull_pct,nonzero_pct,flat_trips_pct,min,p01,p50,p99,max
timestampinmillis,100.0,100.0,0.0,1627046629627.0,1627201740663.06,1691153389344.0,1786117620869.0,1786123505841.0
positionmapmatchedlatitude,100.0,99.1,0.0,0.0,43.561,47.866,48.809,48.885
positionmapmatchedlongitude,100.0,99.1,0.0,0.0,4.817,11.579,13.206,13.401
positionmapmatchedheading,100.0,99.2,0.0,0.0,1.0,179.33,357.947,360.0
positionrawlongitude,100.0,99.6,0.0,0.0,4.87,11.579,13.206,13.402
positionrawheading,100.0,92.6,0.0,0.0,0.0,176.3,357.19,359.999
positionrawlatitude,100.0,99.6,0.0,0.0,43.569,47.876,48.808,48.885
positionmapmatchedhorizontalaccuracy,100.0,98.5,1.0,0.0,0.0,3.0,40.0,3594.0
positionrawelevation,100.0,99.4,1.0,0.0,79.628,593.937,2258.007,2626.342
ridingtotalmileage,100.0,100.0,2.0,0.0,6556.0,7944567.0,49824000.0,49917000.0
ridingthrottlevalue,100.0,64.0,4.0,0.0,0.0,12.0,49.5,100.0
ridingenginespeed,100.0,81.6,4.0,0.0,0.0,2564.0,5155.0,11745.0
ridinggear,100.0,87.3,4.0,0.0,0.0,3.0,9.0,9.0
ridingtrip1,100.0,88.5,4.0,0.0,0.0,1907599.0,5473300.0,5595100.0
sensorsbankingangle,100.0,88.5,4.0,-43.726,-20.874,0.0,20.83,43.418
sensorsaccelerationlongitudinal,100.0,77.6,4.0,-0.817,-0.223,0.0,0.239,1.843
energyrange,100.0,88.3,5.0,0.0,0.0,241000.0,479000.0,533000.0
sensorsoutsidetemperature,100.0,88.3,5.0,0.0,0.0,21.5,34.5,37.5
sensorstirepressurefront,100.0,86.5,10.0,0.0,0.0,2.34,2.6,5.08
sensorstirepressurerear,100.0,86.3,11.0,0.0,0.0,2.76,3.08,5.08
sensorsenginetemperature,100.0,72.8,16.0,0.0,0.0,83.0,102.5,110.0
ridingabsbraking,100.0,88.2,20.0,0.0,0.0,1.0,2.0,3.0
positionrawspeed,100.0,55.4,27.0,0.0,0.0,3.11,33.989,49.425
positionmapmatchedspeed,100.0,53.8,27.0,0.0,0.0,2.778,33.969,49.167
ridingvehiclespeed,100.0,54.7,29.0,0.0,0.0,3.333,35.278,51.111
positionmapmatchedelevation,100.0,69.8,36.0,0.0,0.0,513.205,2169.946,2626.342
ridingasccontrol,100.0,88.5,55.0,0.0,0.0,1.0,2.0,3.0
positionrawhorizontalaccuracy,100.0,54.1,55.0,0.0,0.0,2.0,48.0,3594.0
positionrawverticalaccuracy,100.0,54.1,59.0,0.0,0.0,2.0,15.0,437.0
energyenergylevel,100.0,17.8,88.0,0.0,0.0,0.0,100.0,100.0
positionmapmatchedverticalaccuracy,100.0,24.5,90.0,0.0,0.0,0.0,7.0,208.0
sensorsaccelerationlateral,100.0,2.8,91.0,-0.345,-0.033,0.0,0.017,0.374
sensorsaccelerationvertical,100.0,2.8,91.0,-1.62,0.0,0.0,1.077,2.958
energyaverageconsumptioncombustion,100.0,0.2,99.0,0.0,0.0,0.0,0.0,5.3
ridingtrip2,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
energyaverageconsumptionelectric,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
positionrawstatus,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
energyaverageconsumptionforrangecalculationcombustion,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
energyactualconsumptioncombustion,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
sensorsbreakpressurefront,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
sensorsbreakpressurerear,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
