trip,rows,dur_min,dt_median_s,dt_p90_s,gaps_gt10s
02cbe62f-d6a6-493a-a4e2-980e7536c3bd,17701,416.81736666666666,1.039,1.063,3
0b80c60c-4604-45cd-af72-ad39933f636d,1524,26.774433333333334,1.049,1.096,0
0ba5c9b5-255e-4992-b7f0-afb8cf760818,10740,320.17406666666665,1.081,1.169,4
0e0b27d7-2b52-4464-9590-2b2acb104f6d,2561,44.774433333333334,1.04,1.059,1
11975933-a22f-4eee-ba5a-19902c52c5f6,1254,21.913333333333334,1.047,1.081,0
123b6b0f-ba46-4361-b30c-aba53b5164e0,497,8.64805,1.041,1.058,0
1472ecb3-fb40-49e1-992b-1b29a440c721,1082,18.781166666666667,1.019,1.11,0
14b6cdbe-9832-4547-b1e6-3e71dd8b0394,925,16.070633333333333,1.041,1.057,0
156b69c8-7cf2-4432-ad74-8c6feb746133,31151,519.2954166666667,1.0,1.003,0
19673abc-fb54-437f-ab58-b799b9824ac4,676,11.8395,1.039,1.064,0
1a8cdab6-7fef-4a80-8b4b-3e85df34f070,17185,389.47703333333334,1.05,1.097,4
1d63f7d9-653e-4b29-9f39-3f83e80e9cb6,1769,38.66531666666667,1.05,1.0973,1
220664e2-1e78-43b9-90d8-3b3c7fdf7698,884,15.318816666666667,1.039,1.058,0
25082eb3-911d-448d-87a5-ff41ff222979,6255,112.93761666666667,1.026,1.2,1
25f5fda8-12d9-4563-b6c8-4fdb88935e69,763,13.396816666666666,1.05,1.096,0
265082be-8427-4077-8bbb-221b8da66b90,4545,86.87655,1.036,1.064,2
28bad1ad-d792-4f41-be72-c1adac7626d1,7607,240.55663333333334,1.049,1.095,0
2c4614a7-7fa7-4d4c-9f93-7fb15d3692bd,12327,229.69591666666668,1.039,1.057,2
2c5c77f7-8f84-4959-95fd-4804305aeb84,3057,57.334316666666666,1.05,1.096,2
2e7baf5a-505c-4b5d-939f-bb5f86032e4c,1889,74.22366666666667,1.023,1.1734,2
2ea4bda9-9c1f-4d63-a170-3392587235a9,4452,80.48375,1.016,1.072,1
2ee7e122-5d4a-4058-8dcc-6d400e662eca,4928,82.13223333333333,1.0,1.184,0
3003aa83-5237-4689-86c9-ec416078e89d,10788,190.14475,1.037,1.057,1
3078127b-934b-498d-b425-6937a5c368bb,786,13.7726,1.049,1.095,0
31132bc6-7201-4a33-82f0-dd9df6b38d23,9292,173.51388333333333,1.05,1.096,2
3215f4d6-78d6-4c16-94e9-7f854fe8b52b,566,12.036666666666667,1.04,1.062,0
32380aa1-9e91-4a82-a125-51cf72f608bf,5244,182.59278333333333,1.05,1.11,2
336750ad-1559-4dbf-96e8-c5b4cc3cce16,1198,20.608166666666666,1.017,1.071,0
346b3186-e867-4dac-abb9-9a51df61d404,6122,119.71798333333334,1.039,1.058,0
37dc1cfd-047e-4b6e-8b32-017e0f3b65da,890,15.58785,1.049,1.094,0
3f010394-1c4c-4cc5-8189-241050ed1f49,1493,26.34325,1.021,1.1959,0
3fd0c3dd-21c1-458c-9c7e-9b2a9ea8229b,1350,24.186316666666666,1.048,1.092,1
40724c30-1608-437e-99ff-d07563cc4b0e,1141,19.00175,1.0,1.0351000000000001,0
4211e7aa-6999-4604-8695-f6ea93496b8b,13202,267.29068333333333,1.039,1.061,2
4a39bfb4-7329-4740-9359-20057cfc1ab9,2128,36.97176666666667,1.041,1.059,0
4c030043-882d-4086-a244-0d709bf6c1cf,888,15.485866666666666,1.039,1.062,0
528e2406-2f21-428b-9318-8a4ce5387cca,6636,169.97526666666667,1.016,1.072,0
56738308-3d70-4ed8-b152-26374a178b74,858,14.874966666666667,1.037,1.06,0
572b065e-6870-40fb-86d4-37bf9d466e4c,2436,44.47538333333333,1.016,1.072,2
58a3ce40-6f6b-4630-9b14-e1ae946986cd,790,14.2793,1.053,1.2012,0
5a336f6f-043b-4865-85b4-1d6b268cb6cf,7408,154.0221,1.049,1.094,1
5c5e9927-a7af-4e82-87a7-02e9683d9ace,855,14.86915,1.04,1.059,0
5fc2e59b-6865-4be0-9cc5-790125d63016,1340,23.227116666666667,1.039,1.058,0
61a0f99c-3e99-4192-b29d-effe6405a93b,1050,17.4831,1.0,1.018,0
6545a8b7-9be2-43fc-9b4d-ff634fe78d05,1213,21.05055,1.037,1.058,0
6a198202-0982-419c-a56f-bf8d41bd8fea,7452,197.22231666666667,1.016,1.072,0
